ID,Ejercicio,Ramo,Siniestro,Fecha de ocurrencia,Fecha de derivacion,Suma asegurada,Ajuste,Accesorios,Tope de suma asegurada,Agencia,Marca de la unidad,Modelo de la unidad,Modelo / Año,Indemnizacion,MT indem - MT aseg,Fecha de pago
1,90,4,124377,12/11/2012,12/13/2012 12:00:00 a. m.,88000,20,0,105600,AVELLANEDA,FIAT,FIAT LINEA ESSENCE DUALOGIC,2009,"88.000,00",0,8/6/2021 12:00:00 a. m.
2,93,4,305227,6/7/2016,,407000,20,100000,608400,EXT.CASA MATRIZ,MERCEDES BENZ,M.BENZ L 1620-45,1998,"507.000,00",100000,6/7/2021 12:00:00 a. m.
3,95,4,93733,9/29/2017,10/5/2017 12:00:00 a. m.,159500,20,0,191400,MARTINEZ,FORD,FORD ECO SPORT 1.4 TDCI XL PLUS L/07,2008,"145.000,00",-14500,7/14/2021 12:00:00 a. m.
4,95,4,153254,11/23/2017,12/27/2017 12:00:00 a. m.,147400,20,0,176880,CORDOBA,VOLKSWAGEN,VW VOYAGE 1.6 4 P. COMFORTLINE PLUS AB,2010,"147.400,00",0,1/12/2021 12:00:00 a. m.
5,95,4,195046,1/2/2018,3/13/2018 12:00:00 a. m.,297000,10,0,326700,NOROESTE ARGENTINO,PEUGEOT,PEUGEOT 408 FELINE 2.0 N 4 P.,2013,"295.000,00",-2000,4/20/2021 12:00:00 a. m.
6,95,4,242849,2/19/2018,3/6/2018 12:00:00 a. m.,70000,10,15000,93500,AVELLANEDA,PEUGEOT,PEUGEOT 504 PICK UP GD,1992,"85.000,00",15000,4/27/2021 12:00:00 a. m.
7,95,4,305396,2/10/2018,4/23/2018 12:00:00 a. m.,112200,99,20000,132200,MORON,CHEVROLET,CHEVROLET CELTA 1.4 3 PTAS. LT,2011,"129.500,00",17300,2/3/2021 12:00:00 a. m.
8,95,4,306910,4/13/2018,11/14/2018 12:00:00 a. m.,266200,20,0,319440,SAN MARTIN,VOLKSWAGEN,VW FOX 1.6 5 P HIGHLINE L/15,2015,"319.440,00",53240,9/20/2021 12:00:00 a. m.
9,95,4,310365,4/14/2018,4/18/2018 12:00:00 a. m.,73700,20,0,88440,AVELLANEDA,VOLKSWAGEN,VW GOL GL 1.6 MI 5 PTAS.,1998,"73.700,00",0,6/27/2018 12:00:00 a. m.
10,95,4,318637,4/20/2018,5/20/2021 12:00:00 a. m.,181000,99,0,181000,MORON,CHEVROLET,CHEVROLET SILVERADO 4.2 TD DLX,1998,"181.000,00",0,9/14/2021 12:00:00 a. m.
11,95,4,348021,5/16/2018,5/29/2018 12:00:00 a. m.,285000,20,0,342000,MORON,FORD,FORD F-100 4.2 XLT D MWM,2004,"342.000,00",57000,3/5/2021 12:00:00 a. m.
12,96,4,23605,7/23/2018,8/1/2018 12:00:00 a. m.,78100,10,0,85910,AVELLANEDA,FIAT,FIAT SIENA S 1.7 D,2000,"78.100,00",0,4/13/2021 12:00:00 a. m.
13,96,4,36074,8/1/2018,8/6/2018 12:00:00 a. m.,150700,20,0,180840,MARTINEZ,FORD,FORD KA 1.0 FLY VIRAL L/11,2012,"147.000,00",-3700,9/14/2020 12:00:00 a. m.
14,96,4,46185,8/10/2018,1/11/2019 12:00:00 a. m.,251000,20,0,301200,MENDOZA,JEEP,JEEP GRAND CHEROKEE LIMITED 4.7,2000,"301.200,00",50200,3/1/2021 12:00:00 a. m.
15,96,4,51982,8/17/2018,8/22/2018 12:00:00 a. m.,202500,20,0,243000,MORON,CITROEN,CITROEN XSARA PICASSO 1.6 I 16V EXCLUSIVE,2010,"220.000,00",17500,8/25/2021 12:00:00 a. m.
16,96,4,62472,8/24/2018,9/4/2018 12:00:00 a. m.,135000,10,15000,165000,MORON,RENAULT,RENAULT SYMBOL 1.6 16V CONFORT,2009,"150.000,00",15000,8/9/2021 12:00:00 a. m.
17,96,4,63788,8/28/2018,9/13/2018 12:00:00 a. m.,145200,20,14000,191040,MORON,FORD,FORD ECO SPORT 1.6 XLS,2004,"160.000,00",14800,10/2/2018 12:00:00 a. m.
18,96,4,85384,9/10/2018,10/9/2018 12:00:00 a. m.,236500,10,0,260150,MORON,FIAT,FIAT DOBLO 1.4 CARGO ACTIVE,2013,"260.000,00",23500,5/31/2021 12:00:00 a. m.
19,96,4,199357,1/3/2019,12/12/2019 12:00:00 a. m.,124300,20,13500,165360,BUENOS AIRES,CHEVROLET,CHEVROLET CORSA GL 1.6 4P. A/A DH SUPER,2006,"134.500,00",10200,1/20/2021 12:00:00 a. m.
20,96,4,230858,2/2/2019,2/6/2019 12:00:00 a. m.,148500,20,15000,196200,AVELLANEDA,CITROEN,CITROEN XSARA PICASSO 2.0 16V EXCLUSIVE,2002,"148.500,00",0,11/2/2021 12:00:00 a. m.
21,96,4,242297,1/5/2019,2/26/2019 12:00:00 a. m.,214500,99,0,214500,MORON,RENAULT,RENAULT KANGOO CONFORT 1.6 CD SVT 1 PL,2013,"214.500,00",0,6/14/2021 12:00:00 a. m.
22,96,4,262906,3/1/2019,3/21/2019 12:00:00 a. m.,247500,20,0,297000,MARTINEZ,FIAT,FIAT GRAND SIENA 1.4 ATTRACTIVE TOP SEG,2014,"244.000,00",-3500,7/4/2019 12:00:00 a. m.
23,96,4,269169,3/7/2019,3/15/2019 12:00:00 a. m.,207900,99,12000,219900,MORON,FIAT,FIAT PALIO 1.4 5 P ATTRACTIVE L/12,2013,"219.900,00",12000,10/29/2021 12:00:00 a. m.
24,96,4,287354,3/23/2019,4/1/2019 12:00:00 a. m.,363000,20,0,435600,LOMAS DE ZAMORA,FORD,FORD RANGER XLT 3.0 TDI D/C 4X2,2008,"435.600,00",72600,7/21/2021 12:00:00 a. m.
25,96,4,301455,3/31/2019,4/22/2019 12:00:00 a. m.,776000,10,0,853600,MORON,VOLKSWAGEN,VW AMAROK 2.0 TD 4X2 DC TREND. 180 HP,2016,"820.000,00",44000,9/24/2021 12:00:00 a. m.
26,96,4,330139,5/2/2019,5/7/2019 12:00:00 a. m.,671000,30,0,872300,MONTE GRANDE,FORD,FORD F-14000/49,2000,"671.000,00",0,5/12/2021 12:00:00 a. m.
27,96,4,331764,5/6/2019,5/14/2019 12:00:00 a. m.,132000,99,10000,142000,AVELLANEDA,PEUGEOT,PEUGEOT 406 SV 2.0 16V,1999,"142.000,00",10000,5/21/2021 12:00:00 a. m.
28,96,4,337332,5/12/2019,5/23/2019 12:00:00 a. m.,156200,20,0,187440,MORON,FIAT,FIAT IDEA 1.4 ELX,2009,"187.000,00",30800,4/29/2021 12:00:00 a. m.
29,96,4,338277,4/29/2019,5/16/2019 12:00:00 a. m.,90000,20,2000,110400,SAN MARTIN,FORD,FORD ESCORT LX A/A,1994,"99.800,00",9800,2/12/2021 12:00:00 a. m.
30,96,4,338843,5/10/2019,5/17/2019 12:00:00 a. m.,130900,20,0,157080,CASA MATRIZ,FIAT,FIAT FIORINO FURGON 1.7 TD FIRE,2005,"157.080,00",26180,4/12/2021 12:00:00 a. m.
31,96,4,344655,5/15/2019,5/23/2019 12:00:00 a. m.,495000,99,0,495000,MENDOZA,TOYOTA,TOYOTA HILUX L/05 2.5 SC 4X4 TD COVER,2009,"495.000,00",0,2/10/2021 12:00:00 a. m.
